link,hotel,price
https://www.booking.com/hotel/es/hostal-radio.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=31133301_296996182_2_0_0&highlighted_blocks=31133301_296996182_2_0_0&matching_block_id=31133301_296996182_2_0_0&sr_pri_blocks=31133301_296996182_2_0_0__96095&from=searchresults,Hostal Radio Barcelona,€ 961
https://www.booking.com/hotel/es/san-antoni-market.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=46482902_368016027_0_0_0&highlighted_blocks=46482902_368016027_0_0_0&matching_block_id=46482902_368016027_0_0_0&sr_pri_blocks=46482902_368016027_0_0_0__157338&from=searchresults,Sant Antoni Market,"€ 1,573"
https://www.booking.com/hotel/es/the-praktik.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=9450115_351632806_0_0_0&highlighted_blocks=9450115_351632806_0_0_0&matching_block_id=9450115_351632806_0_0_0&sr_pri_blocks=9450115_351632806_0_0_0__157200&from=searchresults,Praktik Garden,"€ 1,572"
https://www.booking.com/hotel/es/hotel-arconte.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=27664004_426467595_0_2_0&highlighted_blocks=27664004_426467595_0_2_0&matching_block_id=27664004_426467595_0_2_0&sr_pri_blocks=27664004_426467595_0_2_0__195078&from=searchresults,"Hotel Arconte, Adults Only","€ 1,951"
https://www.booking.com/hotel/es/leonardo-boutique-hotel-barcelona-sagrada-familia.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=27707101_91470765_0_2_0&highlighted_blocks=27707101_91470765_0_2_0&matching_block_id=27707101_91470765_0_2_0&sr_pri_blocks=27707101_91470765_0_2_0__136670&from_sustainable_property_sr=1&from=searchresults,Leonardo Boutique Hotel Barcelona Sagrada Familia,"€ 1,367"
https://www.booking.com/hotel/es/bright-and-modern-4bedroom-with-terrace-in-las-ramblas-p1.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816084&all_sr_blocks=874022702_424713106_6_0_0&highlighted_blocks=874022702_424713106_6_0_0&matching_block_id=874022702_424713106_6_0_0&sr_pri_blocks=874022702_424713106_6_0_0__396672&from=searchresults,The Collection Barcelona - Bright and modern 4bedroom with terrace in Las Ramblas P1,"€ 3,967"
https://www.booking.com/hotel/es/cami-gallery.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816084&all_sr_blocks=70696107_88504364_0_0_0&highlighted_blocks=70696107_88504364_0_0_0&matching_block_id=70696107_88504364_0_0_0&sr_pri_blocks=70696107_88504364_0_0_0__119700&from=searchresults,Cami Gallery Barcelona,"€ 1,197"
https://www.booking.com/hotel/es/des-artistes.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816084&all_sr_blocks=47149107_415015342_0_0_0_782660&highlighted_blocks=47149107_415015342_0_0_0_782660&matching_block_id=47149107_415015342_0_0_0_782660&sr_pri_blocks=47149107_415015342_0_0_0_782660_69350&from=searchresults,Des Artistes,€ 694
https://www.booking.com/hotel/es/apartamento-cerca-de-playa-barcelona.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816084&all_sr_blocks=981700201_426163220_2_0_0&highlighted_blocks=981700201_426163220_2_0_0&matching_block_id=981700201_426163220_2_0_0&sr_pri_blocks=981700201_426163220_2_0_0__111832&from=searchresults,Apartamento cerca de la playa,"€ 1,118"
https://www.booking.com/hotel/es/raval.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816084&all_sr_blocks=1269711_95136258_2_2_0&highlighted_blocks=1269711_95136258_2_2_0&matching_block_id=1269711_95136258_2_2_0&sr_pri_blocks=1269711_95136258_2_2_0__157278&from=searchresults,Barceló Raval,"€ 1,573"
